
¿ì¸®³ª¶ó±âÈÄÆò³â°ª
[°Ë»öÁ¶°Ç]
°Ë»ö±¸ºÐ : ÀÏº°Æò³â°ª
, ÁöÁ¡¸í : ÀüÃ¼
, ±â°£ : 1971~2000³â
ÁöÁ¡¸í,ÀÏ½Ã,ÇØ¸é±â¾Ð(hPa),Æò±Õ±â¿Â(¡ÆC),ÃÖ°í±â¿Â(¡ÆC),ÃÖÀú±â¿Â(¡ÆC),Æò±ÕÇ³¼Ó(m/sec),°­¼ö·®(mm),½Àµµ(%),Àü¿î·®(1/10),¼ÒÇüÁõ¹ß·®(mm),ÀÏÁ¶½Ã°£(hr)
¼ÓÃÊ,02-04,    1021.5,      -0.3,       3.2,      -3.6,       3.2,       4.2,      59.5,       4.2,       1.8,       5.4
¼ÓÃÊ,02-05,    1020.9,       0.4,       4.0,      -3.1,       3.2,       1.9,      60.1,       4.6,       2.0,       5.9
¼ÓÃÊ,02-06,    1020.4,       0.5,       4.6,      -3.3,       3.6,       0.7,      53.4,       3.0,       2.2,       6.7
¼ÓÃÊ,02-07,    1020.3,       0.1,       4.2,      -3.7,       3.5,       0.9,      52.4,       3.6,       2.0,       5.6
¼ÓÃÊ,02-08,    1020.2,      -0.2,       3.5,      -3.7,       3.5,       0.3,      54.5,       3.4,       2.5,       6.3
¼ÓÃÊ,02-09,    1019.9,       0.3,       4.3,      -3.3,       3.4,       1.8,      53.8,       4.0,       2.2,       5.7
¼ÓÃÊ,02-10,    1020.0,       0.4,       4.3,      -3.4,       3.3,       2.2,      56.9,       3.4,       2.8,       6.8
¼ÓÃÊ,02-11,    1020.0,       1.0,       4.8,      -2.7,       3.4,       1.4,      51.4,       3.0,       2.6,       7.2
¼ÓÃÊ,02-12,    1019.6,       2.1,       5.9,      -1.5,       3.4,       0.9,      55.0,       3.7,       2.2,       6.1
¼ÓÃÊ,02-13,    1020.3,       1.9,       5.7,      -1.8,       3.3,       1.7,      57.4,       3.7,       2.3,       6.8
¼ÓÃÊ,02-14,    1020.6,       1.8,       5.7,      -1.8,       3.3,       1.5,      58.6,       4.5,       2.1,       6.0
¼ÓÃÊ,02-15,    1019.3,       1.2,       5.1,      -2.0,       3.5,       3.6,      60.2,       4.3,       2.1,       5.6
¼ÓÃÊ,02-16,    1020.8,       0.7,       4.3,      -2.7,       3.1,       3.7,      59.5,       4.0,       2.0,       6.1
¼ÓÃÊ,02-17,    1021.6,       0.8,       4.2,      -2.4,       3.2,       3.6,      64.7,       5.1,       1.7,       5.0
¼ÓÃÊ,02-18,    1021.7,       1.2,       4.9,      -2.2,       3.0,       3.7,      65.3,       5.1,       2.1,       5.5
¼ÓÃÊ,02-19,    1021.2,       1.4,       4.9,      -2.0,       3.3,       1.3,      64.3,       4.5,       2.2,       6.3
¼ÓÃÊ,02-20,    1019.9,       1.5,       5.3,      -1.9,       3.7,       1.6,      58.5,       4.2,       2.7,       7.0
¼ÓÃÊ,02-21,    1020.7,       0.7,       4.4,      -2.9,       3.5,       1.2,      56.3,       4.0,       2.3,       6.8
¼ÓÃÊ,02-22,    1020.4,       1.6,       5.6,      -2.5,       3.6,       1.2,      55.3,       4.4,       2.5,       6.3
¼ÓÃÊ,02-23,    1020.6,       1.5,       4.9,      -1.7,       3.8,       3.2,      58.7,       4.3,       2.0,       6.4
¼ÓÃÊ,02-24,    1021.7,       1.3,       4.7,      -2.2,       3.1,       1.6,      61.1,       4.6,       2.2,       6.0
¼ÓÃÊ,02-25,    1021.7,       1.3,       5.3,      -2.4,       3.2,       2.3,      61.6,       4.8,       2.2,       5.5
¼ÓÃÊ,02-26,    1019.9,       2.0,       6.0,      -1.9,       3.4,       0.5,      60.3,       4.6,       2.6,       6.7
¼ÓÃÊ,02-27,    1019.2,       2.7,       6.5,      -1.1,       3.6,       1.5,      57.6,       4.1,       2.6,       6.5
¼ÓÃÊ,02-28,    1018.7,       2.8,       6.6,      -1.0,       4.0,       4.3,      61.6,       4.7,       2.3,       6.2
¼ÓÃÊ,02-29,    1016.7,       2.4,       6.7,      -1.3,       3.6,       7.0,      54.9,       5.6,       2.4,       4.3
¼ÓÃÊ,03-01,    1020.5,       2.2,       5.8,      -1.3,       3.2,       3.1,      63.1,       4.9,       2.3,       5.9
¼ÓÃÊ,03-02,    1020.5,       2.8,       6.3,      -0.9,       3.3,       3.1,      60.4,       4.0,       2.3,       6.6
¼ÓÃÊ,03-03,    1019.4,       3.7,       7.4,       0.0,       3.1,       3.3,      60.2,       4.4,       2.3,       5.7
¼ÓÃÊ,03-04,    1018.4,       3.9,       8.1,       0.1,       3.2,       0.7,      60.3,       4.5,       2.8,       6.4
¼ÓÃÊ,03-05,    1018.2,       3.8,       7.7,       0.0,       3.5,       2.6,      59.6,       3.7,       3.1,       7.5
¼ÓÃÊ,03-06,    1018.8,       3.8,       7.9,      -0.2,       3.4,       2.2,      58.7,       4.1,       3.0,       6.8
¼ÓÃÊ,03-07,    1020.4,       3.4,       7.5,       0.0,       3.4,       1.2,      61.8,       5.1,       2.7,       6.1
¼ÓÃÊ,03-08,    1020.0,       4.5,       8.9,       0.3,       3.4,       1.4,      60.3,       3.9,       3.1,       7.0
¼ÓÃÊ,03-09,    1019.0,       4.6,       8.5,       0.8,       3.5,       3.9,      61.8,       5.6,       2.7,       5.3
¼ÓÃÊ,03-10,    1018.3,       4.6,       8.5,       0.5,       3.7,       1.1,      58.7,       3.6,       3.5,       7.6
¼ÓÃÊ,03-11,    1018.5,       4.3,       7.9,       0.9,       3.6,       1.4,      61.7,       5.1,       2.8,       6.0
¼ÓÃÊ,03-12,    1018.4,       4.5,       8.6,       0.4,       3.4,       0.8,      60.1,       4.3,       3.2,       7.5
¼ÓÃÊ,03-13,    1019.4,       5.1,       9.0,       1.2,       3.1,       0.3,      60.4,       4.3,       3.2,       7.3
¼ÓÃÊ,03-14,    1019.0,       5.2,       9.1,       1.4,       3.2,       1.4,      63.7,       5.2,       2.8,       5.8
¼ÓÃÊ,03-15,    1019.0,       5.3,       9.1,       1.6,       3.7,       1.0,      60.3,       5.6,       3.0,       5.7
¼ÓÃÊ,03-16,    1017.8,       5.0,       8.5,       1.5,       3.5,       2.1,      66.1,       6.0,       2.7,       5.0
¼ÓÃÊ,03-17,    1018.3,       5.0,       8.4,       1.0,       3.1,       0.7,      65.1,       4.2,       2.8,       7.1
¼ÓÃÊ,03-18,    1018.6,       5.7,       9.8,       1.5,       3.2,       1.8,      62.4,       4.4,       3.2,       7.0
¼ÓÃÊ,03-19,    1018.6,       6.2,      10.1,       2.3,       3.5,       1.8,      63.4,       5.3,       3.1,       6.0
¼ÓÃÊ,03-20,    1019.1,       5.3,       9.1,       1.8,       3.0,       1.5,      70.3,       5.8,       2.3,       5.1
¼ÓÃÊ,03-21,    1019.5,       5.4,       8.8,       1.8,       3.2,       1.2,      70.4,       6.0,       2.6,       5.2
¼ÓÃÊ,03-22,    1020.3,       5.1,       8.4,       1.7,       2.9,       3.1,      71.8,       6.3,       2.6,       4.8
¼ÓÃÊ,03-23,    1019.1,       5.5,       8.9,       2.0,       3.5,       3.1,      70.1,       6.1,       2.7,       5.0
¼ÓÃÊ,03-24,    1018.3,       5.0,       8.3,       1.6,       3.8,       2.7,      63.7,       5.3,       3.2,       5.5
¼ÓÃÊ,03-25,    1017.9,       6.0,      10.0,       1.9,       3.9,       1.0,      56.1,       3.9,       3.9,       7.8
¼ÓÃÊ,03-26,    1018.6,       6.6,      10.4,       2.4,       3.5,       1.2,      61.4,       4.1,       3.7,       7.5
¼ÓÃÊ,03-27,    1018.6,       7.4,      11.2,       3.3,       3.0,       1.2,      66.4,       5.0,       3.1,       6.5
¼ÓÃÊ,03-28,    1018.1,       8.2,      12.4,       4.0,       3.3,       1.2,      65.1,       5.7,       3.3,       6.4
¼ÓÃÊ,03-29,    1016.7,       8.5,      12.4,       4.3,       3.0,       1.1,      66.8,       5.9,       2.9,       6.5
¼ÓÃÊ,03-30,    1015.5,       7.7,      11.4,       4.0,       3.5,       3.2,      67.8,       6.2,       2.8,       5.5
¼ÓÃÊ,03-31,    1016.0,       7.3,      11.2,       3.2,       3.3,       1.9,      65.5,       5.1,       3.2,       6.9
¼ÓÃÊ,04-01,    1016.3,       8.4,      12.7,       3.7,       3.7,       1.6,      56.7,       4.7,       4.0,       6.9
¼ÓÃÊ,04-02,    1016.8,       7.8,      12.1,       3.5,       3.6,       2.1,      59.2,       4.0,       3.9,       7.6
¼ÓÃÊ,04-03,    1016.9,       8.8,      12.8,       4.1,       3.6,       2.1,      57.0,       4.3,       4.1,       7.7
¼ÓÃÊ,04-04,    1016.3,       9.7,      14.1,       5.0,       3.4,       1.2,      58.3,       4.1,       4.1,       7.9
¼ÓÃÊ,04-05,    1015.3,      10.6,      15.0,       6.1,       3.8,       3.4,      60.1,       5.0,       4.6,       7.3
¼ÓÃÊ,04-06,    1015.4,       9.5,      13.4,       5.8,       3.9,       5.2,      63.3,       5.5,       4.5,       6.4
¼ÓÃÊ,04-07,    1015.6,       9.5,      13.1,       5.3,       3.4,       2.2,      66.6,       5.2,       3.4,       6.5
¼ÓÃÊ,04-08,    1014.4,      10.1,      14.1,       5.8,       3.6,       1.3,      65.3,       5.6,       4.3,       6.5
¼ÓÃÊ,04-09,    1015.3,       9.8,      14.0,       5.9,       3.4,       0.8,      65.8,       5.5,       4.4,       6.5
¼ÓÃÊ,04-10,    1014.9,      10.0,      14.4,       5.4,       3.6,       3.5,      63.9,       4.1,       4.6,       7.5
¼ÓÃÊ,04-11,    1015.8,      10.1,      14.2,       6.0,       3.5,       1.2,      63.6,       5.2,       3.9,       7.0
¼ÓÃÊ,04-12,    1014.9,      10.3,      13.8,       6.5,       3.6,       4.9,      66.0,       5.2,       4.3,       6.5
¼ÓÃÊ,04-13,    1013.7,      10.8,      14.8,       6.7,       3.6,       2.1,      62.7,       4.8,       4.0,       7.0
¼ÓÃÊ,04-14,    1014.7,      10.7,      14.9,       6.9,       3.5,       1.6,      64.6,       5.3,       3.7,       6.7
¼ÓÃÊ,04-15,    1013.9,      11.0,      15.1,       6.9,       3.4,       4.5,      66.8,       5.8,       3.6,       6.2
¼ÓÃÊ,04-16,    1013.4,      11.0,      14.7,       7.1,       3.5,       1.2,      65.9,       5.9,       3.5,       6.3
¼ÓÃÊ,04-17,    1013.0,      11.9,      16.5,       7.6,       3.7,       0.6,      62.4,       5.0,       5.0,       7.7
¼ÓÃÊ,04-18,    1013.0,      12.1,      16.4,       7.2,       4.0,       1.8,      60.9,       4.4,       5.0,       8.3
¼ÓÃÊ,04-19,    1012.3,      12.2,      17.0,       7.5,       4.2,       2.8,      63.7,       4.1,       5.2,       8.5
¼ÓÃÊ,04-20,    1014.0,      12.2,      16.4,       8.0,       3.5,       1.1,      64.7,       4.6,       4.8,       7.9
¼ÓÃÊ,04-21,    1013.1,      12.0,      16.5,       8.2,       3.5,       1.8,      69.0,       5.2,       5.3,       7.4
¼ÓÃÊ,04-22,    1011.2,      13.4,      17.3,       9.2,       4.0,       0.6,      60.9,       5.1,       5.6,       7.6
¼ÓÃÊ,04-23,    1011.3,      14.0,      18.6,       9.7,       4.0,       1.2,      57.3,       4.7,       5.4,       8.6
¼ÓÃÊ,04-24,    1012.4,      13.3,      18.0,       8.8,       4.2,       5.2,      60.7,       5.1,       4.9,       7.6
¼ÓÃÊ,04-25,    1013.4,      12.7,      16.5,       9.1,       3.5,       1.4,      65.5,       4.9,       4.4,       7.5
¼ÓÃÊ,04-26,    1012.4,      13.8,      18.3,       9.4,       4.1,       3.9,      61.8,       5.1,       5.0,       7.3
¼ÓÃÊ,04-27,    1012.8,      13.4,      18.4,       9.2,       4.0,       2.5,      63.2,       5.4,       5.7,       6.4
¼ÓÃÊ,04-28,    1011.6,      13.2,      17.5,       9.2,       3.5,       3.9,      67.1,       6.1,       4.3,       6.1
¼ÓÃÊ,04-29,    1011.9,      13.7,      17.3,       9.9,       3.7,       2.2,      66.9,       5.5,       5.2,       7.7
¼ÓÃÊ,04-30,    1012.1,      13.7,      18.4,       9.5,       3.4,       3.1,      68.2,       6.2,       5.1,       6.6
¼ÓÃÊ,05-01,    1011.8,      13.4,      17.5,       9.7,       3.9,       3.9,      66.5,       6.0,       4.5,       6.2
¼ÓÃÊ,05-02,    1012.2,      13.6,      17.8,       9.8,       3.8,       3.2,      66.6,       6.0,       5.1,       6.6
¼ÓÃÊ,05-03,    1012.7,      13.9,      17.5,      10.2,       3.5,       3.2,      66.6,       6.3,       4.4,       6.4
¼ÓÃÊ,05-04,    1011.2,      14.4,      18.8,       9.9,       3.8,       0.9,      64.3,       5.0,       5.6,       7.5
¼ÓÃÊ,05-05,    1011.5,      13.6,      18.3,       9.9,       3.6,       0.7,      67.6,       4.7,       5.3,       8.3
¼ÓÃÊ,05-06,    1011.6,      14.7,      18.9,      10.3,       3.7,       2.8,      68.2,       4.9,       4.9,       7.1
¼ÓÃÊ,05-07,    1010.2,      14.5,      18.3,      10.7,       3.7,       6.2,      70.8,       5.8,       5.5,       6.5
¼ÓÃÊ,05-08,    1010.0,      15.3,      19.8,      11.2,       3.2,       2.4,      67.1,       5.1,       4.8,       7.7
¼ÓÃÊ,05-09,    1011.2,      15.9,      20.4,      11.1,       3.3,       1.6,      63.3,       4.8,       5.7,       8.2
¼ÓÃÊ,05-10,    1011.5,      16.8,      21.2,      12.1,       3.6,       2.1,      60.0,       5.2,       6.7,       8.0
¼ÓÃÊ,05-11,    1011.6,      16.6,      20.9,      12.5,       3.4,       1.5,      62.4,       5.1,       6.2,       8.1
¼ÓÃÊ,05-12,    1012.4,      15.7,      19.9,      11.8,       2.8,       3.2,      69.3,       5.6,       4.9,       7.3
¼ÓÃÊ,05-13,    1011.7,      14.9,      19.1,      11.3,       2.8,      13.3,      73.8,       6.8,       4.1,       5.3
¼ÓÃÊ,05-14,    1010.9,      15.0,      19.3,      11.0,       3.0,       3.3,      70.8,       5.4,       5.6,       7.4
¼ÓÃÊ,05-15,    1010.7,      15.5,      19.8,      11.4,       3.2,       1.6,      66.9,       5.6,       5.3,       7.8
¼ÓÃÊ,05-16,    1009.9,      15.9,      20.0,      11.9,       3.5,       2.0,      68.0,       5.8,       5.5,       7.5
¼ÓÃÊ,05-17,    1010.7,      15.8,      19.7,      11.6,       3.6,       1.5,      66.7,       4.6,       5.9,       9.0
¼ÓÃÊ,05-18,    1009.8,      16.2,      20.8,      12.1,       3.4,       1.5,      66.9,       5.6,       5.0,       6.9
¼ÓÃÊ,05-19,    1008.9,      16.8,      20.9,      13.0,       3.3,       3.5,      67.2,       5.6,       5.2,       6.5
¼ÓÃÊ,05-20,    1009.4,      16.6,      20.7,      12.3,       3.9,       1.8,      67.7,       5.3,       6.0,       7.6
¼ÓÃÊ,05-21,    1010.3,      16.2,      20.4,      12.3,       3.1,       0.2,      70.3,       5.3,       5.4,       8.3
¼ÓÃÊ,05-22,    1010.3,      17.1,      21.7,      12.4,       3.0,       2.0,      69.0,       4.7,       5.2,       8.4
¼ÓÃÊ,05-23,    1010.9,      17.1,      21.4,      12.8,       2.9,       2.4,      69.5,       5.4,       4.8,       7.6
¼ÓÃÊ,05-24,    1010.4,      16.0,      19.9,      12.6,       3.3,      10.2,      74.2,       6.7,       4.4,       5.8
¼ÓÃÊ,05-25,    1010.5,      16.3,      20.6,      12.4,       2.8,       5.4,      73.5,       6.2,       4.1,       6.3
¼ÓÃÊ,05-26,    1010.1,      17.1,      20.9,      13.4,       3.1,       3.0,      71.8,       6.2,       4.6,       6.8
¼ÓÃÊ,05-27,    1009.6,      17.5,      21.8,      13.3,       3.0,       0.8,      69.3,       4.7,       5.8,       8.6
¼ÓÃÊ,05-28,    1008.4,      18.0,      22.2,      13.4,       3.0,       0.3,      68.1,       5.2,       5.1,       8.1
¼ÓÃÊ,05-29,    1008.3,      18.1,      22.2,      14.1,       3.2,       0.3,      70.5,       6.0,       5.1,       7.2
¼ÓÃÊ,05-30,    1009.0,      17.5,      21.4,      13.8,       2.9,       1.1,      71.9,       4.8,       5.3,       8.5
¼ÓÃÊ,05-31,    1008.5,      17.7,      21.8,      14.1,       3.1,       2.1,      72.9,       5.4,       4.5,       7.1
¼ÓÃÊ,06-01,    1008.8,      17.1,      20.2,      14.2,       2.9,       3.6,      77.4,       7.6,       3.8,       5.3
¼ÓÃÊ,06-02,    1007.3,      17.7,      21.2,      14.2,       2.7,       6.0,      77.1,       6.8,       4.2,       5.5
¼ÓÃÊ,06-03,    1007.6,      17.6,      21.1,      14.3,       3.3,       5.0,      76.2,       6.4,       4.6,       5.6
¼ÓÃÊ,06-04,    1008.7,      17.8,      21.6,      14.4,       2.9,       2.0,      76.5,       6.6,       4.8,       5.9
¼ÓÃÊ,06-05,    1009.1,      18.3,      21.9,      15.0,       2.9,       4.5,      76.6,       5.9,       5.4,       7.0
¼ÓÃÊ,06-06,    1009.2,      19.0,      22.6,      15.4,       2.8,       1.3,      73.0,       5.8,       4.9,       7.1
¼ÓÃÊ,06-07,    1008.7,      18.6,      22.9,      14.8,       2.7,       4.3,      74.3,       6.8,       4.6,       6.5
¼ÓÃÊ,06-08,    1007.8,      18.2,      21.9,      14.8,       3.0,       5.3,      75.9,       6.9,       4.4,       5.3
¼ÓÃÊ,06-09,    1008.3,      17.8,      21.2,      14.8,       2.6,       0.9,      80.3,       7.5,       4.4,       5.9
¼ÓÃÊ,06-10,    1008.3,      18.5,      21.9,      15.3,       3.0,       1.5,      78.0,       6.9,       4.7,       6.5
¼ÓÃÊ,06-11,    1008.2,      19.8,      23.8,      15.7,       3.1,       0.2,      72.5,       6.6,       6.1,       6.9
¼ÓÃÊ,06-12,    1008.0,      19.6,      23.1,      16.0,       2.8,       1.7,      74.9,       6.3,       5.1,       7.1
¼ÓÃÊ,06-13,    1008.5,      18.5,      21.6,      15.5,       2.8,       4.0,      79.3,       6.9,       4.0,       5.6
¼ÓÃÊ,06-14,    1008.5,      18.4,      21.2,      15.5,       2.7,       1.2,      81.6,       7.3,       3.8,       5.2
¼ÓÃÊ,06-15,    1008.0,      18.8,      22.3,      15.4,       2.5,       1.5,      80.5,       7.0,       3.9,       4.9
¼ÓÃÊ,06-16,    1007.4,      18.9,      22.2,      16.0,       2.6,       2.7,      81.0,       6.6,       4.3,       6.7
¼ÓÃÊ,06-17,    1006.8,      19.5,      22.7,      16.7,       2.5,       3.8,      80.0,       7.4,       4.4,       5.1
¼ÓÃÊ,06-18,    1007.6,      19.1,      22.1,      16.2,       2.8,       8.3,      81.3,       7.6,       4.1,       4.8
¼ÓÃÊ,06-19,    1008.4,      19.0,      21.9,      16.4,       2.6,       2.9,      81.7,       7.6,       3.6,       4.5
¼ÓÃÊ,06-20,    1008.1,      18.7,      21.4,      16.3,       2.3,       6.7,      84.7,       7.9,       2.9,       4.0
¼ÓÃÊ,06-21,    1007.8,      19.0,      22.0,      16.0,       2.5,       4.6,      83.6,       7.0,       4.2,       5.5
¼ÓÃÊ,06-22,    1007.2,      19.9,      23.1,      17.3,       2.2,       2.1,      80.3,       6.5,       4.7,       5.8
¼ÓÃÊ,06-23,    1007.3,      19.9,      22.7,      17.4,       2.4,       4.9,      82.1,       7.1,       4.0,       5.5
¼ÓÃÊ,06-24,    1007.2,      20.0,      22.7,      17.4,       2.5,       7.0,      82.7,       7.8,       3.2,       4.8
¼ÓÃÊ,06-25,    1006.6,      19.9,      22.6,      17.5,       2.3,      10.0,      84.3,       7.6,       3.3,       4.2
¼ÓÃÊ,06-26,    1006.1,      19.6,      22.3,      17.3,       2.5,       9.5,      85.8,       7.8,       2.7,       4.0
¼ÓÃÊ,06-27,    1006.0,      20.3,      23.3,      17.9,       2.5,       4.1,      82.5,       8.1,       3.3,       4.0
¼ÓÃÊ,06-28,    1006.2,      20.1,      23.1,      17.7,       2.4,       2.7,      84.7,       7.9,       3.3,       3.9
¼ÓÃÊ,06-29,    1006.5,      20.0,      22.8,      17.6,       2.4,       4.2,      86.2,       7.9,       2.9,       3.9
¼ÓÃÊ,06-30,    1006.5,      19.9,      22.1,      18.0,       2.5,       6.7,      87.1,       8.4,       2.9,       2.6
¼ÓÃÊ,07-01,    1007.0,      20.1,      22.8,      17.8,       2.5,       9.4,      85.9,       8.1,       3.1,       3.4
¼ÓÃÊ,07-02,    1006.8,      20.7,      23.7,      18.1,       2.5,      11.9,      83.6,       7.7,       3.1,       4.7
¼ÓÃÊ,07-03,    1006.8,      20.8,      23.8,      18.2,       2.7,       5.3,      84.5,       8.1,       3.0,       3.8
¼ÓÃÊ,07-04,    1007.0,      21.1,      24.0,      18.3,       2.3,       6.4,      84.0,       7.2,       4.0,       5.3
¼ÓÃÊ,07-05,    1006.6,      21.7,      24.6,      18.6,       2.5,       1.6,      82.0,       6.7,       4.5,       5.8
¼ÓÃÊ,07-06,    1006.0,      21.6,      25.0,      18.7,       2.4,       4.5,      82.8,       6.5,       4.7,       6.9
¼ÓÃÊ,07-07,    1005.5,      22.1,      25.1,      19.0,       2.6,       7.6,      81.7,       6.9,       3.5,       5.1
¼ÓÃÊ,07-08,    1005.4,      22.2,      25.1,      19.3,       2.5,       3.5,      81.5,       7.1,       4.4,       4.4
¼ÓÃÊ,07-09,    1006.0,      22.0,      25.1,      19.5,       2.4,       7.5,      82.8,       7.6,       3.9,       4.4
¼ÓÃÊ,07-10,    1005.7,      22.1,      25.3,      19.8,       2.3,       4.8,      84.1,       8.0,       3.5,       4.5
¼ÓÃÊ,07-11,    1005.8,      21.9,      24.8,      19.4,       2.5,       6.1,      83.3,       8.2,       3.3,       3.9
¼ÓÃÊ,07-12,    1006.4,      21.7,      24.4,      19.2,       2.4,       8.6,      83.3,       7.7,       3.8,       4.2
¼ÓÃÊ,07-13,    1006.2,      22.2,      24.9,      19.6,       2.3,       4.9,      83.2,       7.9,       4.1,       4.4
¼ÓÃÊ,07-14,    1006.2,      22.5,      25.2,      19.8,       2.4,       7.2,      83.5,       7.7,       3.6,       4.6
¼ÓÃÊ,07-15,    1006.0,      22.4,      25.0,      20.0,       2.3,       6.7,      85.0,       7.8,       3.6,       4.2
¼ÓÃÊ,07-16,    1005.1,      22.4,      25.3,      19.8,       2.8,       8.9,      84.2,       7.7,       3.7,       4.2
¼ÓÃÊ,07-17,    1005.7,      22.9,      26.1,      20.5,       2.4,       6.5,      81.3,       7.1,       4.4,       4.6
¼ÓÃÊ,07-18,    1006.9,      23.1,      26.2,      20.4,       2.4,       4.6,      80.8,       6.6,       4.0,       5.8
